Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Warren Peace,2352,192,Dirk Digglet,2206,601,PO,409,B1,2,0,0,1,-2.59%,2.59%,0,0,0,33,5,3,NEB,GEO,PO,PO,RGO,1
Waffles O'Laughlin,2347,792,Kuuma Kivi,2397,160,K,368,T2,0,0,0,1,-2.44%,2.44%,0,0,0,34,5,3,GEO,NEB,K,K,K,1
Owen Doar,2351,753,Kuuma Kivi,2397,360,K,393,T2,1,0,0,1,-2.13%,2.13%,0,0,0,34,5,3,GEO,NEB,K,K,PO,1
Roidy Magoo,2354,745,Kuuma Kivi,2397,15,K,270,T2,2,0,0,1,-1.93%,1.93%,0,0,0,34,5,3,GEO,NEB,K,K,FO,1
Corn Barn,2337,572,Dirk Digglet,2206,700,FO,128,B2,0,0,0,1,-4.38%,4.38%,0,0,0,35,5,3,NEB,GEO,FO,FO,1B,1
Juran Riley,2333,265,Dirk Digglet,2206,780,LGO,485,B2,1,0,0,1,-3.91%,3.91%,0,0,0,35,5,3,NEB,GEO,LGO,LGO,LGO,1
Josh Peterson,2285,69,Dirk Digglet,2206,411,PO,342,B2,2,0,0,1,-3.24%,3.24%,0,0,0,35,5,3,NEB,GEO,PO,PO,K,1
Buck Maverick,2334,1,Kuuma Kivi,2397,306,K,305,T3,0,0,0,1,-2.29%,2.29%,0,0,0,36,5,3,GEO,NEB,K,K,K,1
Ronald (Ron) Redmers,2370,279,Kuuma Kivi,2397,10,K,269,T3,1,0,0,1,-2.08%,2.08%,0,0,0,36,5,3,GEO,NEB,K,K,FO,1
Kilometers Man,2363,967,Kuuma Kivi,2397,420,RGO,453,T3,2,0,0,1,-1.91%,1.91%,0,0,0,36,5,3,GEO,NEB,RGO,RGO,LGO,1
Richard Thumpus,2375,911,Dirk Digglet,2206,240,PO,329,B3,0,0,0,1,-5.77%,5.77%,0,0,0,37,5,3,NEB,GEO,PO,PO,K,1
tanguy chan,2393,150,Dirk Digglet,2206,666,LGO,484,B3,1,0,0,1,-5.16%,5.16%,0,0,0,37,5,3,NEB,GEO,LGO,LGO,LGO,1
Don Foster,2360,999,Dirk Digglet,2206,327,PO,328,B3,2,0,0,1,-4.45%,4.45%,0,0,0,37,5,3,NEB,GEO,PO,PO,K,1
Guthlac son of Romund,2340,420,Hunter Scott CCCXXVII,786,569,BB,149,T4,0,0,0,1,1.49%,-1.49%,0,0,0,38,5,3,GEO,NEB,BB,BB,BB,1
Guthlac son of Romund,2340,800,Hunter Scott CCCXXVII,786,880,SB,80,T4,0,1,0,1,2.68%,-2.68%,0,0,0,38,5,3,GEO,NEB,Steal 2B,Steal 2B,SB,4
Hugh Jass,2357,223,Hunter Scott CCCXXVII,786,420,FO,197,T4,0,2,0,1,-2.63%,2.63%,0,0,0,38,5,3,GEO,NEB,FO,FO,FO,1
Wazz Up,2328,621,Hunter Scott CCCXXVII,786,197,RGO,424,T4,1,2,0,1,-2.76%,2.76%,0,0,0,38,5,3,GEO,NEB,RGO,RGO,RGO,1
Waffles O'Laughlin,2347,193,Hunter Scott CCCXXVII,786,420,FO,227,T4,2,3,0,1,-3.61%,3.61%,0,0,0,38,5,3,GEO,NEB,FO,FO,FO,1
Alton Beasley,2348,333,Obama But White,2372,678,K,345,B4,0,0,0,1,-8.33%,8.33%,0,0,0,39,5,3,NEB,GEO,K,K,K,1
Fredrick Pabst,2343,630,Obama But White,2372,762,BB,132,B4,1,0,0,1,7.39%,-7.39%,0,0,0,39,5,3,NEB,GEO,BB,BB,1B,1
Warren Peace,2352,625,Obama But White,2372,965,K,340,B4,1,1,0,1,-7.88%,7.88%,0,0,0,39,5,3,NEB,GEO,K,K,K,1
Corn Barn,2337,628,Obama But White,2372,134,LGO,494,B4,2,1,0,1,-13.92%,13.92%,0,0,0,39,5,3,NEB,GEO,LGO,LGO,LGO,1
Rebecca Weems,2361,,Reimer Gonzalez,13,,Auto K,,T1,0,0,0,0,-3.03%,3.03%,0,0,0,40,6,3,OSU,GT,Auto K,Auto K,Auto K,9
Terry Gaskins,2349,364,Reimer Gonzalez,13,821,LGO,457,T1,1,0,0,0,-2.74%,2.74%,0,0,0,40,6,3,OSU,GT,LGO,LGO,LGO,1
Stan Francisco,2378,625,Reimer Gonzalez,13,87,LGO,462,T1,2,0,0,0,-2.31%,2.31%,0,0,0,40,6,3,OSU,GT,LGO,LGO,LGO,1
Bad Mulligan,2350,731,Mazy Loron,2345,69,PO,338,B1,0,0,0,0,-3.07%,3.07%,0,0,0,41,6,3,GT,OSU,PO,PO,K,1
Gerald McCoy,2389,563,Mazy Loron,2345,69,LGO,494,B1,1,0,0,0,-2.77%,2.77%,0,0,0,41,6,3,GT,OSU,LGO,LGO,LGO,1
Pancake Blankenship,2346,315,Mazy Loron,2345,69,K,246,B1,2,0,0,0,-2.27%,2.27%,0,0,0,41,6,3,GT,OSU,K,K,FO,1
Lionel Houser,2374,683,Reimer Gonzalez,13,63,RGO,380,T2,0,0,0,0,-3.58%,3.58%,0,0,0,42,6,3,OSU,GT,RGO,RGO,PO,1
Boots Malarkey,2383,777,Reimer Gonzalez,13,500,K,277,T2,1,0,0,0,-3.19%,3.19%,0,0,0,42,6,3,OSU,GT,K,K,FO,1
MELTZ Slander,2335,69,Reimer Gonzalez,13,777,K,292,T2,2,0,0,0,-2.75%,2.75%,0,0,0,42,6,3,OSU,GT,K,K,K,1
Anthony Billanti,2379,69,Mazy Loron,2345,69,HR,0,B2,0,0,0,0,18.66%,-18.66%,1,1,1,43,6,3,GT,OSU,HR,HR,HR,1
Troy Pressing,2282,420,Mazy Loron,2345,69,PO,351,B2,0,0,1,0,-1.87%,1.87%,0,0,0,43,6,3,GT,OSU,PO,PO,K,1
Tencer Sporkelson,2329,69,Mazy Loron,2345,569,LGO,500,B2,1,0,1,0,-1.74%,1.74%,0,0,0,43,6,3,GT,OSU,LGO,LGO,LGO,1
Frederick Thunderpants,2371,669,Mazy Loron,2345,69,PO,400,B2,2,0,1,0,-1.49%,1.49%,0,0,0,43,6,3,GT,OSU,PO,PO,RGO,1
Large Attractive,2452,734,Reimer Gonzalez,13,383,RGO,351,T3,0,0,1,0,-4.98%,4.98%,0,0,0,44,6,3,OSU,GT,RGO,RGO,K,1
