Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
LMN,TAC,5004,5.0,S5,1,2,0,1,2,3,0,3,5,0,5,2,1,1,1,1,5,12,24,5,5,1.8148148148148147,0.2865392390441123,0.2775,Away
LMN,VFQ,4006,4.0,S4,2,3,0,0,5,1,0,5,5,0,1,4,2,1,1,0,8,17,26,7,7,2.6941176470588233,0.35137957188606106,0.3122,Away
LMN,WWC,5007,5.0,S5,3,2,0,1,2,7,1,4,6,0,1,3,2,2,0,0,5,12,28,8,8,4.814814814814815,0.5946206050104684,0.26220000000000004,Away
MOB,SCU,8501,8.2,S8B,1,0,0,4,0,2,0,5,3,0,0,4,5,1,0,0,4,8,23,1,1,-4.846153846153847,-0.5142591527146502,0.0,Away
MVM,LMN,5005,5.0,S5,2,1,0,1,4,1,0,4,5,0,0,4,3,2,1,0,6,10,23,3,3,-0.18518518518518567,0.07845787307775608,-0.3202,Home
MVM,SAR,5003,5.0,S5,1,1,0,1,2,3,0,2,7,0,0,2,2,1,0,1,4,8,20,1,1,-1.654320987654321,-0.08057775611869182,-0.11830000000000002,Home
NNL,BIR,9002,9.0,S9,1,1,0,1,2,0,0,3,5,0,2,3,4,1,0,0,4,8,21,1,1,-2.7714285714285714,-0.16084478021978021,0.0,Away
NUT,CC,8502,8.2,S8B,1,3,1,2,3,0,0,5,3,0,0,5,5,0,0,0,9,22,27,6,6,0.15384615384615352,-0.019414590644957153,0.0,Away
NUT,SCU,8503,8.2,S8B,2,4,0,4,3,5,1,11,2,0,2,3,2,1,2,0,11,27,36,11,11,2.4038461538461533,0.1914079550466986,0.0,Away
PBA,KNX,7004,7.0,S7,1,0,0,2,1,0,0,6,8,1,0,3,1,0,0,0,3,5,21,0,0,-3.2238805970149254,-0.24596228260407366,0.0,Home
PDB,DDD,4002,4.0,S4,1,2,0,0,3,5,0,8,1,0,0,2,3,1,0,0,5,11,24,5,5,1.411764705882353,0.21403674363728303,0.30809999999999993,Away
PGA,DDD,4005,4.0,S4,2,1,1,1,2,0,0,3,3,0,7,2,2,1,0,0,5,11,22,1,1,-3.3058823529411763,-0.2637996516658239,-0.15630000000000002,Away
PGA,PGS,4001,4.0,S4,1,1,1,3,0,2,0,4,3,0,4,2,5,0,0,0,5,13,25,4,4,-0.3058823529411764,0.045307882465307044,0.03920000000000002,Away
