Line ID,Batting Team's Score:,,,,,"Win Probability, slightly edited",,,,,,,,,,,,,,,,,,,,
,Inning,Top/Bot,OBC,Outs,Inning&OBC&Outs,-10+,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10+
97,3,1,0,1,3101,0.12%,0.44%,0.68%,1.31%,2.38%,4.27%,7.47%,12.63%,20.45%,31.62%,46.98%,62.54%,75.02%,83.98%,90.15%,94.12%,96.63%,98.16%,98.93%,99.51%,99.86%
98,3,1,0,2,3102,0.03%,0.41%,0.61%,1.05%,1.77%,3.36%,6.14%,10.76%,18.09%,28.77%,44.24%,60.51%,73.46%,82.95%,89.52%,93.63%,96.39%,98.01%,98.93%,99.46%,99.85%
99,3,1,1,0,3110,0.63%,1.13%,1.26%,2.41%,4.48%,7.19%,11.37%,18.16%,27.21%,38.90%,53.32%,67.45%,78.48%,86.17%,91.56%,95.00%,97.02%,98.64%,99.26%,99.61%,99.89%
100,3,1,1,1,3111,0.29%,0.77%,0.92%,1.66%,3.42%,5.74%,9.28%,15.21%,23.53%,34.89%,49.75%,64.58%,76.45%,84.91%,90.68%,94.59%,96.90%,98.26%,98.97%,99.49%,99.96%
101,3,1,1,2,3112,0.24%,0.73%,0.79%,1.37%,2.28%,4.32%,7.36%,12.64%,20.31%,31.45%,46.74%,62.26%,74.82%,83.93%,90.12%,94.03%,96.49%,98.12%,98.90%,99.49%,99.82%
102,3,1,2,0,3120,0.20%,1.12%,1.75%,3.40%,5.51%,8.00%,13.15%,20.68%,30.91%,43.46%,57.72%,70.84%,80.92%,87.88%,92.65%,95.55%,97.50%,99.03%,99.22%,99.60%,99.77%
103,3,1,2,1,3121,0.61%,0.34%,0.86%,1.81%,3.75%,6.02%,10.26%,16.75%,25.78%,37.86%,52.56%,67.05%,78.09%,85.91%,91.44%,94.99%,97.09%,98.33%,99.03%,99.65%,99.84%
104,3,1,2,2,3122,0.14%,0.35%,0.67%,1.63%,2.62%,4.44%,7.65%,12.93%,21.25%,32.68%,47.94%,63.48%,75.60%,84.28%,90.36%,94.24%,96.72%,97.99%,99.13%,99.50%,99.83%
105,3,1,3,0,3130,0.76%,0.56%,1.39%,3.42%,6.40%,9.18%,15.18%,22.49%,33.49%,48.06%,62.13%,74.64%,83.69%,89.94%,93.20%,96.74%,97.84%,98.94%,99.37%,99.75%,99.72%
106,3,1,3,1,3131,0.00%,0.35%,1.65%,2.43%,4.65%,5.95%,11.71%,18.23%,29.22%,41.67%,56.72%,70.40%,80.83%,87.95%,92.44%,95.60%,97.47%,98.59%,98.96%,99.40%,99.79%
107,3,1,3,2,3132,0.00%,0.00%,0.90%,1.45%,3.05%,3.92%,7.96%,13.08%,21.28%,33.04%,47.80%,63.58%,75.57%,84.64%,90.23%,94.24%,96.74%,98.02%,99.06%,99.27%,99.76%
108,3,1,4,0,3140,1.59%,1.83%,1.50%,4.11%,6.58%,10.71%,16.78%,24.85%,34.53%,46.24%,59.54%,72.03%,81.87%,88.31%,92.93%,95.76%,97.26%,98.88%,99.80%,99.59%,99.77%
109,3,1,4,1,3141,1.13%,1.94%,1.40%,2.61%,5.42%,8.46%,12.83%,19.99%,29.24%,40.45%,54.50%,68.05%,79.01%,86.30%,91.64%,95.12%,97.18%,98.42%,99.37%,99.61%,99.91%
110,3,1,4,2,3142,0.82%,1.08%,0.96%,1.95%,3.22%,5.70%,9.02%,15.85%,24.19%,35.26%,49.85%,64.60%,76.57%,84.94%,90.62%,94.32%,96.93%,98.01%,99.19%,99.24%,99.73%
111,3,1,5,0,3150,0.00%,2.41%,3.35%,6.49%,8.17%,12.12%,17.08%,27.28%,37.34%,51.99%,65.77%,77.15%,85.20%,91.07%,94.45%,96.54%,98.18%,99.00%,98.53%,99.52%,100.00%
112,3,1,5,1,3151,0.94%,0.00%,1.58%,2.61%,5.31%,8.67%,14.57%,21.96%,31.95%,45.20%,58.53%,71.72%,81.63%,88.19%,93.13%,95.80%,97.70%,98.48%,98.96%,99.44%,99.80%
113,3,1,5,2,3152,0.00%,0.42%,1.23%,1.75%,3.07%,6.02%,10.09%,15.79%,23.79%,35.38%,49.99%,65.01%,76.53%,85.01%,91.00%,94.46%,96.92%,98.36%,98.95%,99.57%,99.72%
114,3,1,6,0,3160,1.39%,1.10%,3.14%,4.88%,9.43%,13.42%,21.36%,30.62%,41.90%,55.65%,68.38%,78.64%,86.92%,92.16%,94.88%,97.21%,98.02%,99.35%,98.52%,100.00%,100.00%
