Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Edge Rocks,2281,343.0,Obama  But White,2372,509.0,FO,166.0,T4,1,0,1,0,-3.37%,3.37%,0,0,0,54,7,4,OSU,GEO,FO,FO,BB,1
Betardo Carrero,2394,327.0,Obama  But White,2372,115.0,FO,212.0,T4,2,0,1,0,-2.78%,2.78%,0,0,0,54,7,4,OSU,GEO,FO,FO,FO,1
Kilometers Man,2363,916.0,Herb Sessions,2245,619.0,K,297.0,B4,0,0,1,0,-1.87%,1.87%,0,0,0,55,7,4,GEO,OSU,K,K,K,1
Roidy Magoo,2354,369.0,Herb Sessions,2245,602.0,FO,233.0,B4,1,0,1,0,-1.74%,1.74%,0,0,0,55,7,4,GEO,OSU,FO,FO,FO,1
Hugh Jass,2357,808.0,Herb Sessions,2245,22.0,FO,214.0,B4,2,0,1,0,-1.49%,1.49%,0,0,0,55,7,4,GEO,OSU,FO,FO,FO,1
Briek Vermeesch,2366,950.0,Obama  But White,2372,140.0,K,190.0,T5,0,0,1,0,-4.98%,4.98%,0,0,0,56,7,4,OSU,GEO,K,K,FO,1
MELTZ Slander,2335,326.0,Obama  But White,2372,902.0,RGO,424.0,T5,1,0,1,0,-4.32%,4.32%,0,0,0,56,7,4,OSU,GEO,RGO,RGO,RGO,1
Large Attractive,2452,261.0,Obama  But White,2372,246.0,HR,15.0,T5,2,0,1,0,24.12%,-24.12%,1,1,1,56,7,4,OSU,GEO,HR,HR,HR,1
Patrick Stump,2173,222.0,Obama  But White,2372,587.0,PO,365.0,T5,2,0,1,1,-3.51%,3.51%,0,0,0,56,7,4,OSU,GEO,PO,PO,K,1
Nate Park,2376,728.0,Herb Sessions,2245,185.0,LGO,457.0,B5,0,0,1,1,-4.12%,4.12%,0,0,0,57,7,4,GEO,OSU,LGO,LGO,LGO,1
Owen Doar,2351,509.0,Herb Sessions,2245,844.0,K,335.0,B5,1,0,1,1,-3.89%,3.89%,0,0,0,57,7,4,GEO,OSU,K,K,K,1
Randy Scrub,2385,473.0,Herb Sessions,2245,522.0,2B,49.0,B5,2,0,1,1,5.80%,-5.80%,0,0,0,57,7,4,GEO,OSU,2B,2B,2B,1
Theodore Charmsek,2368,900.0,Herb Sessions,2245,49.0,BB,149.0,B5,2,2,1,1,1.07%,-1.07%,0,0,0,57,7,4,GEO,OSU,BB,BB,BB,1
Noah Clemens,2341,373.0,Herb Sessions,2245,2.0,K,371.0,B5,2,4,1,1,-10.55%,10.55%,0,0,0,57,7,4,GEO,OSU,K,K,K,1
