G,IP,BF,H,R,BB,IBB,K,HR,ERA,WHIP,Avg Diff,Season,Pitcher ID,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD
6.0,12.333333333333334,53.0,10.0,9.0,9.0,0.0,17.0,3.0,4.378378378378378,1.5405405405405406,233.66037735849056,S4,284,3.8932247315808954,13.0,99,3.0,2.0,1.0,0.0,0,2,1,0
5.0,21.0,91.0,27.0,19.0,6.0,0.0,14.0,6.0,5.428571428571429,1.5714285714285714,237.96629213483146,S4,285,4.53672537508154,21.0,61,5.0,2.0,2.0,0.0,3,2,0,0
9.0,27.666666666666668,119.0,28.0,20.0,14.0,0.0,16.0,5.0,4.337349397590361,1.5180722891566265,250.19834710743802,S4,286,4.009473510480277,29.333333333333332,110,5.0,3.0,0.0,0.0,2,1,0,0
8.0,10.0,44.0,13.0,6.0,3.0,1.0,5.0,3.0,3.6,1.6,256.93023255813955,S4,304,5.098630136986301,12.333333333333334,96,0.0,7.0,0.0,0.0,1,1,0,0
4.0,2.6666666666666665,13.0,3.0,2.0,2.0,0.0,2.0,1.0,4.5,1.875,227.41666666666666,S4,305,6.923630136986301,4.0,49,0.0,2.0,0.0,0.0,0,1,0,0
6.0,21.666666666666668,102.0,24.0,21.0,16.0,2.0,20.0,3.0,5.815384615384615,1.846153846153846,229.92233009708738,S4,310,3.46786090621707,22.0,75,5.0,1.0,1.0,0.0,2,3,0,0
6.0,23.666666666666668,101.0,27.0,17.0,8.0,1.0,23.0,7.0,4.309859154929577,1.4788732394366197,243.54,S4,320,4.21412309473278,22.0,71,5.0,1.0,1.0,0.0,0,2,0,1
5.0,23.666666666666668,99.0,26.0,10.0,7.0,0.0,21.0,4.0,2.5352112676056335,1.3943661971830985,240.5408163265306,S4,321,2.6084892919158786,23.666666666666668,130,4.0,3.0,2.0,0.0,4,1,0,0
8.0,27.0,114.0,33.0,15.0,7.0,0.0,23.0,2.0,3.3333333333333335,1.4814814814814814,240.57391304347826,S4,331,1.3356671740233381,27.333333333333332,94,4.0,7.0,3.0,0.0,1,2,2,0
7.0,27.0,113.0,20.0,12.0,15.0,0.0,12.0,5.0,2.6666666666666665,1.2962962962962963,244.88392857142858,S4,336,4.483815322171486,26.666666666666668,97,7.0,3.0,3.0,2.0,5,2,0,0
8.0,39.666666666666664,170.0,44.0,19.0,12.0,0.0,45.0,5.0,2.8739495798319328,1.411764705882353,258.5,S4,337,1.575941061356049,39.333333333333336,193,7.0,6.0,5.0,1.0,5,2,0,0
1.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,265.3333333333333,S4,339,-0.7013698630136989,2.0,0,0.0,1.0,0.0,0.0,0,0,0,0
9.0,37.0,139.0,27.0,10.0,9.0,1.0,24.0,5.0,1.6216216216216217,0.972972972972973,256.06944444444446,S4,342,2.48781932617549,35.333333333333336,103,5.0,8.0,4.0,1.0,4,2,0,0
8.0,19.333333333333332,75.0,13.0,9.0,6.0,1.0,14.0,1.0,2.793103448275862,0.9827586206896552,251.24,S4,345,1.4538025507794046,20.333333333333332,172,2.0,7.0,1.0,0.0,1,1,2,0
11.0,60.666666666666664,257.0,59.0,28.0,28.0,0.0,57.0,8.0,2.769230769230769,1.434065934065934,233.47908745247148,S4,352,2.518410356766521,57.0,83,9.0,11.0,9.0,1.0,3,4,0,0
1.0,5.333333333333333,22.0,3.0,5.0,4.0,1.0,1.0,1.0,5.625,1.3125,274.90909090909093,S4,353,5.611130136986301,5.333333333333333,57,1.0,1.0,1.0,0.0,0,1,0,0
11.0,28.666666666666668,129.0,31.0,24.0,15.0,3.0,17.0,4.0,5.023255813953488,1.6046511627906976,240.37692307692308,S4,361,3.496304555590952,30.333333333333332,68,6.0,3.0,1.0,1.0,1,2,0,0
3.0,5.666666666666667,30.0,9.0,9.0,4.0,0.0,10.0,4.0,9.529411764705882,2.2941176470588234,211.06060606060606,S4,372,9.063336019339243,6.333333333333333,42,1.0,2.0,0.0,0.0,0,1,0,0
5.0,12.333333333333334,49.0,10.0,5.0,3.0,0.0,11.0,3.0,2.4324324324324325,1.054054054054054,253.6078431372549,S4,373,3.406738245094409,11.666666666666666,77,4.0,1.0,0.0,0.0,1,1,1,0
1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,S4,374,1.2986301369863011,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0
7.0,26.666666666666668,98.0,14.0,5.0,8.0,0.0,31.0,0.0,1.125,0.825,281.0,S4,375,-0.1263698630136989,26.333333333333332,153,5.0,2.0,1.0,1.0,3,1,0,1
1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,242.0,S4,376,18.2986301369863,1.0,58,0.0,1.0,0.0,0.0,0,0,1,0
2.0,3.3333333333333335,12.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.2,271.4166666666667,S4,390,2.498630136986301,4.0,106,0.0,2.0,0.0,0.0,0,0,0,0
6.0,26.666666666666668,109.0,25.0,18.0,8.0,0.0,27.0,11.0,4.05,1.2375,221.2212389380531,S4,391,5.536130136986301,23.333333333333332,52,5.0,3.0,2.0,1.0,1,4,0,0
7.0,26.666666666666668,104.0,21.0,11.0,8.0,1.0,20.0,2.0,2.475,1.0875,258.8411214953271,S4,392,1.6736301369863011,25.333333333333332,104,4.0,3.0,1.0,1.0,2,1,0,0
5.0,4.333333333333333,20.0,5.0,2.0,2.0,0.0,5.0,0.0,2.7692307692307696,1.6153846153846154,232.7,S4,393,0.375553213909378,5.0,72,1.0,4.0,0.0,0.0,0,0,0,0
