Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
STL,ATL,6002,6,S6,1,2,1,2,2,4,0,0,2,4,2,4,4,2,0,0,7,27,6.0,3,-0.75,0.19150650447525447,-0.06439999999999993,9,5,Home
STL,ATL,10244,10,S10,1,1,2,0,4,1,0,0,1,6,2,4,3,2,0,0,7,24,6.0,3,-0.1285714285714288,0.11975874763215266,-0.10600000000000005,11,6,Home
STL,COL,6006,6,S6,2,1,0,1,4,3,1,0,4,6,4,4,3,3,0,0,6,30,8.0,2,-4.428571428571429,0.5723088144963144,0.9397,11,5,Away
STL,CWS,6011,6,S6,4,2,1,1,2,0,0,0,5,2,4,2,5,0,1,0,6,24,6.0,5,1.25,-0.01712360696735693,-0.1638000000000001,10,4,Home
STL,NYM,7009,7,S7,3,2,0,2,3,1,0,0,2,4,3,6,2,1,0,0,7,25,6.0,5,0.8394160583941604,0.012066273815832907,-0.40719999999999995,13,6,Home
STL,PHI,11250,11,S11,3,2,0,2,3,1,0,0,2,2,5,2,3,1,0,0,7,22,5.0,6,1.676691729323308,-0.11215808005930313,-0.39410000000000006,9,6,Away
STL,SDP,6009,6,S6,3,2,0,3,5,3,0,0,5,3,2,5,3,0,1,0,10,31,6.0,5,1.2499999999999998,0.013081783081783049,-0.09409999999999999,12,3,Home
STL,SFG,2002,2,S2,1,3,0,1,1,3,0,0,4,4,0,3,3,0,0,1,5,22,5.0,4,2.0113636363636362,-0.1037408568443051,-0.20270000000000002,8,6,Away
STL,SFG,7005,7,S7,2,2,0,2,2,1,0,0,1,13,1,2,1,0,0,0,6,25,6.0,3,-1.1605839416058397,0.21206627381583293,-0.3392999999999999,12,4,Home
STL,SFG,11247,11,S11,2,1,0,2,2,4,0,0,3,1,5,6,1,2,0,0,5,25,6.0,4,-1.1879699248120303,0.18187777983691622,0.1359,13,5,Home
TBR,BAL,10250,10,S10,3,0,1,2,3,5,0,0,2,5,2,2,1,1,1,5,6,23,6.0,1,-2.128571428571429,0.34202991529361304,0.4324,13,4,Home
TBR,BOS,2003,2,S2,1,0,0,2,4,1,0,0,5,4,0,1,5,3,0,0,6,22,6.0,1,-1.3863636363636362,0.2317972831765935,0.25239999999999996,9,7,Away
TBR,CWS,7003,7,S7,1,1,2,0,3,2,0,0,3,9,2,1,3,0,0,0,6,26,6.0,5,0.8394160583941603,0.015906589002042885,0.18029999999999996,10,5,Away
TBR,DET,11249,11,S11,3,7,2,3,1,3,1,0,2,5,7,1,3,0,1,0,13,34,6.0,12,6.81203007518797,-0.5928899052207985,-0.49909999999999993,11,7,Home
TBR,MIN,12244,12,S12,17,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,0.6666666666666666,2,1.6666666666666665,0.11904761904761904,-0.18519999999999998,1,0,Away
TBR,NYY,11246,11,S11,2,1,0,2,3,2,0,0,3,5,3,3,0,1,0,1,6,23,6.0,3,-2.1879699248120303,0.2793545483426877,0.3217,11,6,Home
TBR,OAK,10246,10,S10,2,0,1,2,3,7,0,0,4,5,0,1,4,3,0,1,6,27,6.0,2,-1.128571428571429,0.237575681761321,-0.04970000000000002,9,5,Home
TBR,PHI,10251,10,S10,4,1,0,1,2,1,0,0,5,7,3,2,1,0,1,0,4,23,6.0,3,-0.12857142857142884,0.11975874763215268,0.129,12,3,Away
TBR,TOR,2006,2,S2,2,0,0,2,2,4,0,0,5,3,1,4,0,1,0,0,4,22,5.0,3,1.0113636363636367,-0.00797544409613378,-0.1227,8,1,Away
TBR,TOR,7008,7,S7,2,3,1,1,2,3,0,0,6,2,3,1,3,0,0,0,7,25,5.0,6,2.532846715328467,-0.1572767918775978,-0.5513999999999999,9,5,Away
